State,Attention,Expression,Face,Utterance,Original,Comments
0,center,,female,FH: #clear_throat_C#,,
1,,,,FH: Hej! I den här filmen ska vi presentera inriktningen Datateknik på Industriell ekonomi,FH: Hej! I den här filmen ska vi presentera inriktningen Datateknik på Industriell ekonomi,
2,,,,FH: Du väljer inriktning i årskurs två,FH: Du väljer inriktning i årskurs två…,
3,left,,,FH: Jag är För hatt!  en social robot utvecklad på kå te hå,FH: < FH turns the head to the left> Jag är Furhat  en social robot utvecklad på KTH,
4,right,,,FH: Ja varför skulle dom inte göra det. Jag kan <es>mycket mer<ee> än vad ni kan.,FH: Ja varför skulle dom inte göra det. Jag kan mycket mer än vad ni kan. <FH turns the head to the right>,
5,center,,,FH: Jag kan till exempel byta <es>identitet<ee> på ett ögonblick!,FH: Jag kan till exempel byta identitet på ett ögonblick! <FS turns the head straight forward and changes face animation>,
6,,,irobot,FH: ,,
7,left-right,,,FH: Kan <es>ni<ee> göra det?,FH: Kan ni göra det? <FS turns the head first to the left then to the right>,
8,,BrowRaise,female,FH: Precis som jag trodde,FH: Precis som jag trodde. <FH raises the eyebrows> <FH changes back to normal face>,
9,right-left,,,FH: Och vad gör <es>ni<ee> här egentligen?,FH: Och vad gör ni här egentligen? < FS turns the head first to the right then to the left>,
10,,,,FH: Ja ja ni kan få vara med och <es>hjälpa till!<ee>,FH: Ja ja ni kan få vara med och hjälpa till!,
11,,,,FH: \vct=90\ Då tar vi det från <es>böörjan<ee> \vct=100\,FH: <with deepest possible male voice> Då tar vi det från början.,
12,,,,FH: I Tvåan väljer man inriktning. Sedan väljer man ett av tre teknikspår på maaster programmet.,FH: <with normal voice> I Tvåan väljer man inriktning. Sedan väljer man ett av tre teknikspår på masterprogrammet.,
13,right,,,FH: Varför valde <es>du<ee> datateknik-inriktningen? ,FH: <FH turns the head to the right> Varför valde du datateknik-inriktningen? ,
14,left,,,FH: Och du Ingrid?,FH: <FH turns the head to the left> Och du Ingrid?,
15,right,,,FH: Alla som läser data läser kurser tillsammans i årskurs två och tre.,FH: Alla som läser data läser kurser tillsammans i årskurs två och tre. < FH turns the head to the right>,
16,left,,,FH: ,* FH turns the head to the left,
17,center,,,FH: Sedan läser man tre gemensamma kurser i årskurs  fyra och fem.,FH: <FH turns the head straight forward> Sedan läser man tre gemensamma kurser i årskurs  fyra och fem.,
18,,Nod,,FH: Precis.,FH: <FH nods> Precis.,
19,,,,FH: I spåret för <es>maskininlärning<ee> läser alla först kursen i maskininlärning.,FH: I spåret för maskininlärning läser alla först kursen i maskininlärning.,
20,,ExpressAnger,,FH: Jag <es>hörde<ee> det där!,FH: <FH looks angry> Jag hörde det där! <FH returns to neutral face>,
21,,,,FH: Sedan kan man välja mellan kurser som handlar om olika <es>tekniker<ee> ,FH: Sedan kan man välja mellan kurser som handlar om olika tekniker,
